product_name,price,rating,review_count,url,score
"TCL 43"" S4 4K UHD HDR LED Roku OS Smart TV (43S450R-CA)",279.99,4.43,42,/en-ca/product/tcl-43-s4-4k-uhd-hdr-led-roku-os-smart-tv-43s450r-ca/16693228,19.458000000000002
"Samsung 65"" QN70F Series 4K UHD HDR Neo QLED Tizen Smart TV (QN65QN70FAFXZC) - 2025 - Only at Best Buy",1399.99,4.78,32,/en-ca/product/samsung-65-qn70f-series-4k-uhd-hdr-neo-qled-tizen-smart-tv-qn65qn70fafxzc-2025-only-at-best-buy/19206111,15.668000000000001
"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03FAFXZC) - 2025",1999.99,4.56,32,/en-ca/product/samsung-the-frame-65-4k-uhd-hdr-qled-tizen-smart-tv-qn65ls03fafxzc-2025/19204885,15.536000000000001
"TCL 32"" S-Series 1080p HD LED Roku OS Smart TV (32S350R-CA)",199.99,4.34,32,/en-ca/product/tcl-32-s-series-1080p-hd-led-roku-os-smart-tv-32s350r-ca/16693226,15.404
"TCL 55"" S4 4K UHD HDR LED Roku OS Smart TV (55S450R-CA)",369.99,3.58,33,/en-ca/product/tcl-55-s4-4k-uhd-hdr-led-roku-os-smart-tv-55s450r-ca/16693232,15.348
"Samsung 75"" QN70F Series 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN70FAFXZC) - 2025 - Only at Best Buy",1899.99,4.81,31,/en-ca/product/samsung-75-qn70f-series-4k-uhd-hdr-neo-qled-tizen-smart-tv-qn75qn70fafxzc-2025-only-at-best-buy/19206110,15.286
"Samsung The Frame 43"" 4K UHD HDR QLED Tizen Smart TV (QN43LS03FAFXZC) - 2025",1199.99,4.67,30,/en-ca/product/samsung-the-frame-43-4k-uhd-hdr-qled-tizen-smart-tv-qn43ls03fafxzc-2025/19204888,14.802
"Samsung The Frame 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS03FAFXZC) - 2025",1699.99,4.67,30,/en-ca/product/samsung-the-frame-55-4k-uhd-hdr-qled-tizen-smart-tv-qn55ls03fafxzc-2025/19204886,14.802
Amazon Fire TV Stick 4K (2024) Media Streamer with Alexa Voice Remote,69.99,4.9,29,/en-ca/product/amazon-fire-tv-stick-4k-2024-media-streamer-with-alexa-voice-remote/18247083,14.540000000000001
"Samsung The Frame Pro 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75LS03FWFXZC) - 2025",3499.99,4.92,26,/en-ca/product/samsung-the-frame-pro-75-4k-uhd-hdr-neo-qled-tizen-smart-tv-qn75ls03fwfxzc-2025/19204883,13.352
"Samsung The Frame Pro 65"" 4K UHD HDR Neo QLED Tizen Smart TV (QN65LS03FWFXZC) - 2025",2499.99,4.92,26,/en-ca/product/samsung-the-frame-pro-65-4k-uhd-hdr-neo-qled-tizen-smart-tv-qn65ls03fwfxzc-2025/19204884,13.352
"Samsung 55"" Q7F Series 4K UHD HDR QLED Tizen Smart TV (QN55Q7FAAFXZC) - 2025",696.98,4.52,25,/en-ca/product/samsung-55-q7f-series-4k-uhd-hdr-qled-tizen-smart-tv-qn55q7faafxzc-2025/19206123,12.712
"TCL QM7K-Series 65"" QM7K Series 4K UHD HDR QD-Mini LED Smart Google TV (65QM7K) - 2025",1299.99,4.52,25,/en-ca/product/tcl-qm7k-series-65-qm7k-series-4k-uhd-hdr-qd-mini-led-smart-google-tv-65qm7k-2025/18984523,12.712
"Samsung 43"" U7900F Series 4K UHD HDR LED Tizen Smart TV (UN43U7900FFXZC) - 2025",399.99,4.83,24,/en-ca/product/samsung-43-u7900f-series-4k-uhd-hdr-led-tizen-smart-tv-un43u7900ffxzc-2025/19204878,12.498000000000001
"Samsung 65"" Q7F Series 4K UHD HDR QLED Tizen Smart TV (QN65Q7FAAFXZC) - 2025",996.98,4.54,24,/en-ca/product/samsung-65-q7f-series-4k-uhd-hdr-qled-tizen-smart-tv-qn65q7faafxzc-2025/19206122,12.324000000000002
"Samsung 55"" U7900F Series 4K UHD HDR LED Tizen Smart TV (UN55U7900FFXZC) - 2025",599.99,4.83,23,/en-ca/product/samsung-55-u7900f-series-4k-uhd-hdr-led-tizen-smart-tv-un55u7900ffxzc-2025/19204876,12.098
"Samsung 65"" U7900F Series 4K UHD HDR LED Tizen Smart TV (UN65U7900FFXZC) - 2025",746.98,4.83,23,/en-ca/product/samsung-65-u7900f-series-4k-uhd-hdr-led-tizen-smart-tv-un65u7900ffxzc-2025/19204874,12.098
"Samsung 70"" U7900F Series 4K UHD HDR LED Tizen Smart TV (UN70U7900FFXZC) - 2025",849.99,4.82,22,/en-ca/product/samsung-70-u7900f-series-4k-uhd-hdr-led-tizen-smart-tv-un70u7900ffxzc-2025/19204873,11.692
